timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,additional_monetary_comp,currency,income_context,country,us_state,city,years_of_experience_in_field,years_of_experience_overall,highest_level_of_education,gender,race
4/27/2021 10:51:24,25-34,Tech/Software,DevOps Engineer,Senior level," 96,674 ",,EUR,,,,,1 year or less,1 year or less,PhD,Female,Black or African American
04/12/2021 15:38:07,35-44,Accounting,Accounting Manager,Contract role,88280,,USD,,Netherlands,,,8 - 10 years,8 - 10 years,PhD,Woman,
4/15/2021 21:29:08,55-64,Nursing,Head Nurse,Entry level position,68830,"2,201.00",GBP,,United States,Oregon,Portland,8 - 10 years,8 - 10 years,College degree,Woman,Multiracial
4/12/2021 11:40:01,45-54,HR/People Ops,HR Business Partner,Senior level,74198,,USD,,USA,Florida,,8 - 10 years,8 - 10 years,Master's degree,Woman,
2021-04-25 02:44,25-34,Insurance,Claims Adjuster,Commission based,109091,"5,381.00",USD,gross,U.S.,,Seattle,8 - 10 years,8 - 10 years,PhD,Non-binary,
04/12/2021,25-34,Media & Publishing,Journalist,Government pay scale,"20,185","2,496",USD,net,United States,,,2 - 4 years,2 - 4 years,College degree,Non-binary,
4/27/2021 18:08:46,25-34,Nonprofit,Program Director,Academic salary,78985,,GBP,gross,Canada,,,11 - 20 years,11 - 20 years,College degree,Man,
04/13/2021,25-34,Engineering (Civil),Project Engineer,,"85,525","19,729.00",USD,USD equivalent,United States,Colorado,Boston,11 - 20 years,11 - 20 years,College degree,Female,
4/12/2021 2:26:01,25-34,Nursing,ER Nurse,Commission based,"76,357",$880,USD,,United States,California,Austin,5-7 years,5-7 years,College degree,Man,White
4/22/2021 5:24:09,under 18,Law,Prosecutor,Contract role," 138,957 ",none,USD,USD equivalent,United States,,San Francisco,5-7 years,5-7 years,College degree,Female,
4/22/2021 15:34:04,35-44,Real Estate,Real Estate Agent,,,,USD,,United states,California,Austin,21 - 30 years,21 - 30 years,PhD,Woman,Another option not listed here
4/21/2021 5:38:23,45-54,Insurance,Underwriter,Commission based,,,INR,,Netherlands,,Los Angeles,5-7 years,5-7 years,Some college,Man,"Hispanic, Latino, or Spanish origin"
04/21/2021,35-44,Tech/Software,Data Engineer,Contract role,"66,092",,USD,before tax,Netherlands,,Seattle,8 - 10 years,8 - 10 years,College degree,Man,White
2021-04-13 23:29,25-34,Food & Beverage,Chef,,,none,GBP,,,,,8 - 10 years,8 - 10 years,High School,Woman,Multiracial
2021-04-16 03:28,45-54,Healthcare,Doctor,,"128,536.00",6084,GBP,net,United Kingdom,,,2 - 4 years,2 - 4 years,College degree,Male,
4/27/2021 16:58:01,25-34,Government & Public Administration,Program Manager,," 122,912 ",,USD,net,United States,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Female,White
2021-04-17 18:00,25-34,Healthcare,Physician,Commission based,"135,979.00","$9,054",USD,before tax,United States,Florida,New York,5-7 years,5-7 years,College degree,Male,Black or African American
04/14/2021 19:50:08,25-34,Education (Higher Ed),adjunct lecturer,Remote position,64285,,USD,,Ireland,,Austin,11 - 20 years,11 - 20 years,High School,Female,Black or African American
04/26/2021,45-54,Legal,Attorney,," 94,543 ",3499,AUD,net,United States,Massachusetts,Denver,5-7 years,5-7 years,PhD,Woman,
04/20/2021 21:28:23,25-34,Law,Corporate Attorney,Entry level position,"93,344",,USD,,USA,Colorado,,11 - 20 years,11 - 20 years,Some college,Woman,
4/18/2021 2:06:10,25-34,Healthcare,Healthcare Administrator,,"116,435.00","7,865",USD,,UK,,,11 - 20 years,11 - 20 years,College degree,Female,White
04/15/2021 01:32:03,25-34,Engineering (Civil),Transportation Engineer,Senior level," 95,446 ",$55,USD,,United Kingdom,,,41 years or more,41 years or more,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here
04/24/2021,35-44,Banking/Finance,Relationship Manager,Senior level,$126707,N/A,usd,gross,United States,Oregon,,5-7 years,5-7 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
04/18/2021,55-64,Healthcare,PA,Includes bonus,"43,034.00",317,USD,,Ireland,,,8 - 10 years,8 - 10 years,PhD,Woman,Asian or Asian American
4/27/2021 3:47:36,45-54,Insurance,Insurance Manager,Contract role,"47,937",5636,usd,,United States,,Denver,2 - 4 years,2 - 4 years,College degree,Man,Multiracial
4/27/2021 7:47:33,25-34,Legal,Associate Attorney,Academic salary,,,USD,,United States,,San Francisco,5-7 years,5-7 years,High School,Man,
04/20/2021,35-44,Insurance,Actuary,Contract role,,,USD,,United states,Texas,,8 - 10 years,8 - 10 years,College degree,man,Another option not listed here
04/12/2021 00:11:18,18-24,Engineering (Civil),Civil Engineer,Government pay scale,"102,706.00",N/A,USD,,United States,Massachusetts,,11 - 20 years,11 - 20 years,Some college,Man,
2021-04-13 01:55,45-54,Hospitality,Operations Manager,,$65963,,USD,,United States,Colorado,,11 - 20 years,11 - 20 years,College degree,man,Black or African American
04/12/2021,25-34,Consulting,Senior Consultant,Government pay scale,101883,,USD,,India,,Boston,11 - 20 years,11 - 20 years,College degree,Non-binary/third gender,
2021-04-28 23:36,35-44,Nonprofit,Program Coordinator,,$85480,,USD,before tax,United States,Washington,,11 - 20 years,11 - 20 years,Master's degree,Woman,Black or African American
2021-04-14 03:30,25-34,Consulting,Senior Consultant,,166835,$767,GBP,,Ireland,,Seattle,5-7 years,5-7 years,High School,man,Another option not listed here
04/21/2021,25-34,Education (Higher Ed),Dean,,"64,781.00",$6594,CAD,gross,Canada,,Portland,5-7 years,5-7 years,College degree,Male,
04/24/2021,45-54,Law,Public Defender,,101944,,EUR,,,,,8 - 10 years,8 - 10 years,PhD,Female,"Hispanic, Latino, or Spanish origin"
4/29/2021 15:11:06,45-54,Education (K-12),Principal,Includes bonus,"52,339",35406,GBP,net,Australia,,,11 - 20 years,11 - 20 years,PhD,Woman,
04/24/2021 13:55:18,25-34,Education (K-12),Vice Principal,Senior level,$33279,1149,CAD,,United States,Oregon,Austin,11 - 20 years,11 - 20 years,College degree,man,Multiracial
04/12/2021 05:24:36,55-64,Tech/Software,DevOps Engineer,Government pay scale,"120,680",N/A,USD,,Australia,,,2 - 4 years,2 - 4 years,College degree,Man,
4/22/2021 7:57:47,25-34,Engineering (Civil),Project Engineer,Includes bonus,"113,809",,USD,,Canada,,Seattle,11 - 20 years,11 - 20 years,Master's degree,Man,
04/26/2021 06:53:40,25-34,Tech/Software,CTO,,102369," 6,951 ",USD,,United States,,,2 - 4 years,2 - 4 years,Master's degree,Man,White
04/12/2021,35-44,Tech/Software,Software Eng,,"20,160",,USD,,United States,Texas,,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
04/20/2021 11:39:49,25-34,Healthcare,MD,,,,AUD,,United Kingdom,,,21 - 30 years,21 - 30 years,Master's degree,Man,Black or African American
4/23/2021 8:17:16,65 or over,Marketing & Advertising,CMO,Academic salary,"141,860.00",$634,USD,,United States,Florida,,8 - 10 years,8 - 10 years,College degree,Woman,Multiracial
4/18/2021 0:47:16,18-24,Legal,Partner,,"5,000",,GBP,,US,Massachusetts,Denver,5-7 years,5-7 years,Master's degree,Non-binary,Black or African American
04/26/2021 16:28:03,35-44,Education (K-12),Middle School Teacher,Entry level position,,,INR,,Australia,,,5-7 years,5-7 years,Master's degree,Man,
4/17/2021 1:39:16,45-54,Marketing & Advertising,Marketing Manager,Government pay scale,"$88,688","$8,748",USD,,Australia,,,5-7 years,5-7 years,Some college,Non-binary,Asian or Asian American
04/18/2021,35-44,Consulting,Consultant,Remote position,"181,467","11,177",USD,,US,Washington,,11 - 20 years,11 - 20 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
2021-04-27 10:50,45-54,Hospitality,Front Desk Manager,Includes bonus,15840,,USD,,United States,,,2 - 4 years,2 - 4 years,College degree,Female,
4/16/2021 11:26:44,35-44,Healthcare,MD,Remote position,"83,926",,USD,,Germany,,,1 year or less,1 year or less,College degree,Man,Multiracial
04/19/2021 08:39:01,25-34,Finance,Finance Analyst,Contract role,"235,236.00",,GBP,before tax,United States,Texas,San Francisco,21 - 30 years,21 - 30 years,College degree,Woman,
04/22/2021 05:41:28,35-44,Architecture,Architect,,62974,,USD,gross,United States,Illinois,Denver,5-7 years,5-7 years,Some college,woman,White
2021-04-29 01:21,45-54,Law,Public Defender,,"103,208.00",none,AUD,gross,India,,Seattle,5-7 years,5-7 years,Master's degree,woman,
04/25/2021 20:28:31,25-34,Banking/Finance,Credit Analyst,Includes bonus,"$77,499",882.00,USD,,Netherlands,,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
4/22/2021 14:27:34,25-34,Nonprofit,Executive Director,Includes bonus," 24,894 ",10567,USD,,Ireland,,,1 year or less,1 year or less,College degree,man,"Hispanic, Latino, or Spanish origin"
4/24/2021 6:40:26,45-54,Marketing & Advertising,Digital Marketing Specialist,,"$66,382",0,USD,,Germany,,,21 - 30 years,21 - 30 years,PhD,Female,Black or African American
4/29/2021 13:53:49,55-64,Consulting,Consultant,,129446,"2,076.00",usd,,United States,,,8 - 10 years,8 - 10 years,High School,Male,Asian or Asian American
04/15/2021 02:20:54,35-44,Food & Beverage,Food & Beverage Manager,Entry level position,"77,232.00",,USD,USD equivalent,Canada,,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Non-binary,Black or African American
2021-04-27 21:05,25-34,Education (Higher Ed),Research Scientist,," 107,438 ",,usd,,Canada,,,11 - 20 years,11 - 20 years,Master's degree,Male,Asian or Asian American
04/23/2021,25-34,Healthcare,Nurse Practitioner,Entry level position,50407," 4,203 ",EUR,,United States,California,Portland,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
04/27/2021,45-54,Healthcare,Physician,,127175,,USD,,United States,Florida,New York,2 - 4 years,2 - 4 years,College degree,man,Asian or Asian American
4/12/2021 8:14:31,55-64,Education (Higher Ed),Postdoc,Remote position," 70,880 ",,usd,,United States,California,,11 - 20 years,11 - 20 years,College degree,Female,Black or African American
4/26/2021 6:18:28,18-24,Hospitality,Operations Manager,Part-time equivalent,"$42,114",none,USD,net,United states,Texas,Austin,5-7 years,5-7 years,Some college,Woman,White
04/12/2021,25-34,Government & Public Administration,Budget Analyst,,$57150,,USD,,United States,California,,5-7 years,5-7 years,Some college,Woman,
4/22/2021 1:21:27,35-44,Media & Publishing,Editor,,$51615,,USD,,United Kingdom,,Boston,1 year or less,1 year or less,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
04/25/2021 08:02:53,25-34,Insurance,Insurance Agent,,42532,,USD,USD equivalent,United States,,Denver,5-7 years,5-7 years,College degree,Female,Asian or Asian American
04/26/2021,25-34,HR/People Ops,HR Manager,Entry level position,78605,$470,USD,,Netherlands,,Seattle,41 years or more,41 years or more,College degree,Female,"Hispanic, Latino, or Spanish origin"
2021-04-13 00:38,45-54,Engineering,Principal Engineer,Remote position,75523,,CAD,,Australia,,,8 - 10 years,8 - 10 years,Master's degree,woman,Multiracial
4/26/2021 12:39:21,25-34,Tech/Software,Senior SWE,,"93,436",,GBP,,United states,California,Chicago,8 - 10 years,8 - 10 years,PhD,Woman,Asian or Asian American
04/20/2021,65 or over,Media & Publishing,Copywriter,,,,GBP,gross,U.S.,Colorado,Boston,11 - 20 years,11 - 20 years,College degree,Woman,Multiracial
04/29/2021 06:18:47,35-44,Retail,Merchandiser,," 79,365 ","6,290",EUR,,,,,21 - 30 years,21 - 30 years,College degree,Man,
2021-04-16 20:41,25-34,Healthcare,Physician,Remote position,$122324,0,GBP,,United States,Massachusetts,,5-7 years,5-7 years,Master's degree,Man,Multiracial
4/15/2021 23:01:50,25-34,Marketing & Advertising,Content Manager,Government pay scale,"84,626"," 7,393 ",USD ,,Canada,,Austin,8 - 10 years,8 - 10 years,College degree,man,Asian or Asian American
2021-04-20 14:34,18-24,Tech/Software,Backend Engineer,,$20160,,CAD,,Australia,,Denver,8 - 10 years,8 - 10 years,Master's degree,Woman,Black or African American
4/14/2021 12:24:51,55-64,Tech/Software,Data Analyst,Academic salary," 157,192 ","9,007",USD,,Germany,,,8 - 10 years,8 - 10 years,Master's degree,Woman,Multiracial
4/15/2021 11:51:28,45-54,Food & Beverage,Food & Beverage Manager,Contract role,43261,,USD,,Canada,,,1 year or less,1 year or less,Master's degree,Female,
2021-04-28 16:07,35-44,Engineering,Engineering Manager,Remote position,,,USD,,Ireland,,,8 - 10 years,8 - 10 years,PhD,Man,Asian or Asian American
2021-04-29 22:33,25-34,Banking/Finance,Banker,Contract role,111845,"6,869",USD,before tax,United States,Texas,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Man,Black or African American
04/14/2021 12:23:03,25-34,Education (K-12),Elementary Teacher,,25802,7680,INR,,U.S.,,,2 - 4 years,2 - 4 years,College degree,Female,Asian or Asian American
04/17/2021 13:29:26,35-44,Finance,Treasurer,Senior level,"113,603.00","3,440",CAD,,United States,Massachusetts,,11 - 20 years,11 - 20 years,College degree,Non-binary,Asian or Asian American
04/21/2021,35-44,Education (K-12),Teacher,," 32,573 ",,USD,,USA,California,Chicago,8 - 10 years,8 - 10 years,Master's degree,man,Another option not listed here
2021-04-20 03:34,18-24,Food & Beverage,Restaurant Manager,Entry level position,"58,915.00","2,394",USD ,,United States,,,11 - 20 years,11 - 20 years,Master's degree,Non-binary/third gender,Black or African American
04/23/2021 09:15:36,25-34,Retail,District Manager,Government pay scale,"53,600",$3835,USD,USD equivalent,India,,,2 - 4 years,2 - 4 years,Some college,man,White
04/12/2021 15:13:51,25-34,Architecture,Senior Architect,Entry level position,,,AUD,,Canada,,,5-7 years,5-7 years,Some college,Man,White
04/22/2021,25-34,Education (K-12),Teacher,Contract role,58735,"1,853",USD,,United Kingdom,,,5-7 years,5-7 years,Master's degree,Male,"Hispanic, Latino, or Spanish origin"
04/26/2021,18-24,Education (K-12),Teacher,Senior level,$42508,"13,496",USD ,,Ireland,,,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,
2021-04-23 01:04,25-34,Insurance,Insurance Manager,,"88,322.00",,EUR,,United Kingdom,,,21 - 30 years,21 - 30 years,College degree,Man,
04/28/2021,55-64,Healthcare,MD,,"309,954.00",,usd,gross,United States,,San Francisco,8 - 10 years,8 - 10 years,Some college,Man,Multiracial
4/15/2021 21:33:06,45-54,Nursing,Charge Nurse,Commission based,115213,2297,USD,,India,,,11 - 20 years,11 - 20 years,PhD,Woman,Another option not listed here
04/28/2021 16:01:08,25-34,Finance,Treasurer,Includes bonus,"99,589",$7695,usd,,UK,,,8 - 10 years,8 - 10 years,Master's degree,Female,
04/23/2021,25-34,Real Estate,Real Estate Manager,,62657,,GBP,,Australia,,,2 - 4 years,2 - 4 years,College degree,man,Another option not listed here
04/26/2021 01:37:30,25-34,Nursing,Registered Nurse,Remote position," 127,985 "," 1,416 ",AUD,,India,,Portland,21 - 30 years,21 - 30 years,College degree,Woman,Another option not listed here
04/17/2021,55-64,Architecture,Urban Planner,Part-time equivalent,$36692,"1,882.00",USD,,Canada,,,8 - 10 years,8 - 10 years,Master's degree,Male,Black or African American
2021-04-28 12:17,45-54,Accounting,Senior Accountant,Senior level," 104,012 ",,USD ,,United States,Illinois,Portland,2 - 4 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
04/23/2021 19:04:49,25-34,Healthcare,Physician Assistant,Academic salary,97904,,GBP,USD equivalent,Canada,,,2 - 4 years,2 - 4 years,Master's degree,Woman,Black or African American
04/25/2021 01:35:17,35-44,Education (K-12),School Counselor,,"$55,262","4,235",USD,,United states,,Chicago,21 - 30 years,21 - 30 years,High School,Man,Black or African American
04/12/2021 21:33:02,25-34,Consulting,Strategy Consultant,Academic salary,$86401,,USD,gross,US,Massachusetts,,2 - 4 years,2 - 4 years,Master's degree,Man,Black or African American
2021-04-25 03:26,25-34,Education (K-12),Vice Principal,Senior level,, ,USD,,Canada,,,41 years or more,41 years or more,Master's degree,Woman,Multiracial
2021-04-16 12:49,25-34,Engineering (Civil),Transportation Engineer,Includes bonus,"83,417.00",728,USD ,,United Kingdom,,,11 - 20 years,11 - 20 years,College degree,Woman,White
04/21/2021 01:07:26,45-54,Real Estate,Real Estate Manager,Senior level," 65,839 ",,USD,,United States,,Los Angeles,11 - 20 years,11 - 20 years,PhD,Male,Asian or Asian American
2021-04-28 15:51,18-24,HR/People Ops,HR Manager,Senior level," 98,595 ",,USD,,United States,,Denver,11 - 20 years,11 - 20 years,Master's degree,man,Multiracial
2021-04-17 20:00,18-24,Healthcare,Doctor,Commission based,$197402,$994,USD,,United States,,,8 - 10 years,8 - 10 years,PhD,Woman,
04/15/2021 06:06:54,55-64,Consulting,Associate Consultant,Entry level position,107621,,AUD,,Australia,,,11 - 20 years,11 - 20 years,Master's degree,Man,Black or African American
04/25/2021 03:48:19,35-44,Insurance,Insurance Agent,Part-time equivalent," 78,074 ",,AUD,,United States,Texas,New York,11 - 20 years,11 - 20 years,College degree,man,
04/23/2021,25-34,Retail,Store Manager,,,,USD,,United Kingdom,,Austin,5-7 years,5-7 years,College degree,woman,Asian or Asian American
04/23/2021,35-44,Engineering (Civil),Structural Engineer,Remote position,"$70,496",,USD,,United States,New York,Boston,5-7 years,5-7 years,PhD,Man,
2021-04-27 03:47,45-54,Finance,Portfolio Manager,,"$107,974"," 5,851 ",USD,USD equivalent,Canada,,,11 - 20 years,11 - 20 years,College degree,man,White
04/17/2021,25-34,Education (Higher Ed),Assistant Professor,Academic salary,,,USD,,United States,,,2 - 4 years,2 - 4 years,Some college,Non-binary,Asian or Asian American
04/23/2021 03:53:52,25-34,Government & Public Administration,Government Analyst,Government pay scale,"$62,775",,USD,,United States,,Portland,11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
04/17/2021 04:46:27,25-34,Healthcare,Healthcare Administrator,Entry level position,"223,098",,GBP,,United States,Colorado,,21 - 30 years,21 - 30 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
2021-04-22 17:01,25-34,Government & Public Administration,Federal Employee,Remote position,95506,,usd,,United Kingdom,,,8 - 10 years,8 - 10 years,Master's degree,Non-binary/third gender,Another option not listed here
04/17/2021,18-24,Food & Beverage,Chef,Entry level position,81281,"2,089.00",USD,,United States,Texas,,5-7 years,5-7 years,PhD,Female,Multiracial
04/27/2021 09:50:55,35-44,Engineering,Electrical Engineer,Contract role," 80,113 "," 26,483 ",USD,,United States,Washington,,5-7 years,5-7 years,Master's degree,Man,Multiracial
04/14/2021,under 18,Consulting,Senior Consultant,Academic salary,"$134,272", ,USD,,Netherlands,,,21 - 30 years,21 - 30 years,College degree,woman,Multiracial
4/18/2021 1:49:23,25-34,Legal,Lawyer,,"100,890.00"," 5,640 ",GBP,,United States,Massachusetts,Portland,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
04/20/2021 05:07:35,45-54,Banking/Finance,Banker,,"129,962",,USD,,United States,Colorado,,11 - 20 years,11 - 20 years,Master's degree,Woman,
4/23/2021 19:16:24,45-54,Media & Publishing,Managing Editor,,35966,"2,078",USD,,Australia,,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Female,Multiracial
4/22/2021 11:45:21,25-34,Retail,Merchandiser,Includes bonus,"67,960"," 8,010 ",USD,,United States,California,Boston,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American
4/13/2021 0:59:12,55-64,Architecture,Senior Architect,Contract role,,,USD,,UK,,,11 - 20 years,11 - 20 years,Some college,man,Multiracial
2021-04-16 12:06,35-44,Real Estate,Real Estate Manager,Government pay scale,"63,655","2,533",CAD,,US,Florida,Denver,11 - 20 years,11 - 20 years,College degree,Man,Multiracial
04/24/2021,25-34,Marketing & Advertising,Social Media Manager,Government pay scale,"84,150",,USD,USD equivalent,Netherlands,,,8 - 10 years,8 - 10 years,College degree,woman,Another option not listed here
04/18/2021 03:38:40,55-64,Education (K-12),High School Teacher,,68246,,USD,,United States,Washington,Chicago,8 - 10 years,8 - 10 years,College degree,man,
4/17/2021 3:03:09,25-34,Engineering,Senior Engineer,,"23,040",205.00,CAD,,United States,Illinois,New York,11 - 20 years,11 - 20 years,Some college,Man,
4/26/2021 15:37:27,25-34,Nursing,Nurse,Part-time equivalent,,,CAD,,United States,,,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
2021-04-15 09:37,25-34,Banking/Finance,Risk Analyst,Senior level,"110,010",,USD,,United States,,,8 - 10 years,8 - 10 years,College degree,woman,White
04/12/2021,18-24,Tech/Software,Senior SWE,Academic salary,209575,"9,702.00",CAD,,United States,,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman,
04/27/2021 15:51:42,55-64,Tech/Software,IT Manager,,,,USD,,United States,,,5-7 years,5-7 years,Master's degree,Woman,Multiracial
04/17/2021 03:05:39,25-34,Engineering (Civil),Environmental Engineer,,"99,090",,USD,,Canada,,Seattle,41 years or more,41 years or more,High School,,
04/25/2021 22:19:09,55-64,Banking/Finance,Loan Officer,,"150,842","3,030",CAD,,United States,Washington,Denver,11 - 20 years,11 - 20 years,Master's degree,Man,Another option not listed here
04/24/2021 13:02:12,35-44,Government & Public Administration,Government Analyst,,"63,194.00",,usd,,United States,Massachusetts,,2 - 4 years,2 - 4 years,College degree,woman,
04/25/2021,45-54,Education (K-12),Middle School Teacher,Academic salary,71737,"2,628.00",CAD,,United Kingdom,,,21 - 30 years,21 - 30 years,High School,Non-binary,Black or African American
4/18/2021 13:47:14,35-44,Media & Publishing,Copy Editor,Entry level position," 65,613 ","7,535.00",USD,,Germany,,Chicago,2 - 4 years,2 - 4 years,PhD,Female,Another option not listed here
04/15/2021,35-44,Food & Beverage,Restaurant Manager,Commission based,"37,512.00",,USD,gross,United States,Colorado,,5-7 years,5-7 years,Master's degree,woman,
04/20/2021,25-34,Accounting,Staff Accountant,Includes bonus,53437,,USD,,United states,Texas,Los Angeles,1 year or less,1 year or less,College degree,Man,Multiracial
4/24/2021 1:50:36,35-44,Tech/Software,Full Stack Developer,,,,usd,,US,Massachusetts,Boston,11 - 20 years,11 - 20 years,PhD,woman,Asian or Asian American
2021-04-18 17:55,18-24,Nursing,ICU Nurse,Senior level,"$78,842",,USD,,USA,,,8 - 10 years,8 - 10 years,Master's degree,Female,
04/18/2021,25-34,Tech/Software,UX Designer,,$36870,1179,USD,,Canada,,Portland,1 year or less,1 year or less,College degree,Male,"Hispanic, Latino, or Spanish origin"
04/15/2021,25-34,Education (K-12),Elementary Teacher,,"$74,984",166,USD,,New Zealand,,,8 - 10 years,8 - 10 years,College degree,woman,
04/25/2021,18-24,Government & Public Administration,Government Analyst,Commission based,,,USD,net,UK,,,11 - 20 years,11 - 20 years,Master's degree,Male,Black or African American
2021-04-20 09:30,25-34,Healthcare,Surgeon,Part-time equivalent," 209,026 "," 4,918 ",USD,,United states,Florida,,5-7 years,5-7 years,High School,Male,Another option not listed here
2021-04-18 07:25,18-24,Education (Higher Ed),Professor,,121833,"$6,846",USD,,Germany,,,21 - 30 years,21 - 30 years,Master's degree,Man,Asian or Asian American
2021-04-16 17:58,18-24,Education (Higher Ed),Adjunct Professor,Senior level,65286,,USD,,US,Oregon,New York,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Non-binary/third gender,Black or African American
04/13/2021 15:11:59,25-34,Consulting,Business Analyst,,"72,348",,USD,,United States,Colorado,,5-7 years,5-7 years,College degree,Man,White
04/13/2021,35-44,Food & Beverage,Food & Beverage Manager,,$24839,,EUR,,United states,,,21 - 30 years,21 - 30 years,PhD,man,White
04/19/2021 23:20:24,35-44,HR/People Ops,HRBP,Part-time equivalent,"24,839",,USD,before tax,United states,,,21 - 30 years,21 - 30 years,College degree,man,
04/21/2021,35-44,Engineering (Civil),Civil Engineer,,"64,035.00","6,183",GBP,,Ireland,,San Francisco,2 - 4 years,2 - 4 years,Master's degree,Woman,White
4/15/2021 16:41:59,25-34,Accounting,Tax Accountant,Entry level position,"72,938",,GBP,gross,United States,New York,,2 - 4 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
04/22/2021,45-54,Tech/Software,DevOps Engineer,,111533,,USD,net,Australia,,Boston,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",,Another option not listed here
04/24/2021,18-24,Marketing & Advertising,SEO Specialist,Academic salary,"$122,467","6,139",USD,net,Canada,,Los Angeles,8 - 10 years,8 - 10 years,Some college,Man,
2021-04-19 06:41,25-34,Engineering (Civil),Structural Engineer,Part-time equivalent,"84,018",2825,USD,,US,Colorado,,5-7 years,5-7 years,College degree,,
04/22/2021 19:54:33,35-44,Hospitality,Operations Manager,,27222,18167,USD,,Germany,,,2 - 4 years,2 - 4 years,College degree,Woman,
4/17/2021 11:42:22,45-54,Tech/Software,UX Designer,,,,USD,,US,Oregon,,11 - 20 years,11 - 20 years,College degree,Non-binary,
04/25/2021 23:22:29,35-44,Consulting,Senior Consultant,Contract role,69744,,CAD,,United States,Massachusetts,,8 - 10 years,8 - 10 years,Some college,Woman,Another option not listed here
04/21/2021 07:19:06,35-44,Healthcare,MD,Includes bonus,"94,662",,USD,,France,,,8 - 10 years,8 - 10 years,Some college,man,White
4/20/2021 14:06:50,25-34,Tech/Software,UX Designer,Academic salary,"104,210.00", ,USD,net,New Zealand,,Los Angeles,2 - 4 years,2 - 4 years,PhD,Male,Another option not listed here
4/25/2021 10:40:45,35-44,Engineering,Senior Engineer,Part-time equivalent,"90,437","6,385",USD,,India,,,8 - 10 years,8 - 10 years,Master's degree,Female,Black or African American
2021-04-24 04:00,35-44,Marketing & Advertising,CMO,,,,USD,gross,United states,Florida,,11 - 20 years,11 - 20 years,High School,Non-binary,White
04/16/2021 11:47:48,25-34,Hospitality,Front Desk Manager,Remote position,$60522,2215,USD,,US,California,,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,
04/27/2021,18-24,Hospitality,Front Desk Manager,,23040,,GBP,,UK,,San Francisco,11 - 20 years,11 - 20 years,Some college,Non-binary,
2021-04-26 23:25,55-64,Healthcare,Nurse Practitioner,Government pay scale,"108,179.00",,CAD,,Germany,,Austin,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Multiracial
04/16/2021,45-54,Architecture,Architect,Academic salary,"75,769.00"," 44,493 ",GBP,,United states,Texas,,2 - 4 years,2 - 4 years,PhD,Non-binary,Another option not listed here
4/27/2021 13:00:49,55-64,Real Estate,Realtor,Government pay scale," 18,948 ",$3207,CAD,gross,Canada,,Boston,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,
2021-04-13 16:04,35-44,HR/People Ops,Talent Acquisition,Academic salary,36665,,GBP,,United Kingdom,,,8 - 10 years,8 - 10 years,College degree,woman,"Hispanic, Latino, or Spanish origin"
4/22/2021 15:50:22,18-24,Media & Publishing,Managing Editor,,59566,,USD,,Canada,,Seattle,2 - 4 years,2 - 4 years,Master's degree,Male,White
4/17/2021 0:27:35,35-44,Media & Publishing,Journalist,Includes bonus,"92,242",$3663,EUR,gross,UK,,Los Angeles,8 - 10 years,8 - 10 years,Master's degree,Woman,
04/23/2021 23:09:38,25-34,Architecture,Senior Architect,,96229,,USD,USD equivalent,United Kingdom,,Boston,8 - 10 years,8 - 10 years,College degree,Non-binary/third gender,
04/19/2021,35-44,Media & Publishing,Writer,Commission based,"$54,845","$3,487",USD,,United States,,Portland,5-7 years,5-7 years,Master's degree,Woman,
04/27/2021 11:30:28,35-44,Marketing & Advertising,Digital Marketing Specialist,Entry level position,$90167,,AUD,,Australia,,,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Non-binary/third gender,
4/20/2021 3:16:49,25-34,Tech/Software,Data Engineer,,"134,108",,USD,,Canada,,,5-7 years,5-7 years,Master's degree,Woman,Black or African American
